soru,cevap
Site,"Site şimdilik içerik olarak Devre Teorisi, Elektronik ve Sinyaller ve Sistemler olmak üzere üç ana başlığa ayrılmış durumdadır. Yan çubukta her dersin kendine özel listeleme alanında içeriklerini görebilirsiniz. Kullanmakta zorluk çektiğiniz sayfaların açıklama alanlarına ve örneklerine göz atmayı unutmayın!"
Merhaba,Merhaba! Hoş geldiniz ⚡
selam,Merhaba! Hoş geldiniz ⚡
"nasılsın, naber","Ben gayet iyiyim, siz nasılsınız?"
İyiyim,Güzel! Ne sormak istersiniz?
Kötüyüm,Nasıl yardımcı olabilirim?
fazör nedir,"**Fazör**, bir sinüzoidal büyüklüğün genlik ve fazını temsil eden **karmaşık sayıdır.** Sitede fazörler hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
kompanzasyon nedir,"**Kompanzasyon**, **reaktif gücü** dengeleyerek **güç faktörünü** iyileştirme işlemidir. Sitede kompanzasyon hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
direnç nedir,"**Direnç**, elektrik akımına karşı gösterilen zorluktur. **Birimi Ohm’dur (Ω).** Sitede dirençler hakkında işlemler yapabileceğiniz sayfayı arama çubuğu veya listeler yardımıyla kolayca bulabilirsiniz!"
endüktans nedir,"**Endüktans**, **akım değişimine karşı manyetik alan oluşturan** devre özelliğidir."
kapasitör nedir,"**Kapasitör**, elektrik yükünü **depolayan** devre elemanıdır."
transistör nedir,"**Transistör**, **akımı kontrol etmek ve yükseltmek için kullanılan** yarı iletken bir elemandır."
diyot nedir,"**Diyot**, elektriği **tek yönde ileten** yarı iletken devre elemanıdır."
ohm kanunu nedir,"**Ohm kanunu:** V = I * R, gerilim, akım ve direnç arasındaki ilişkiyi tanımlar."
ac nedir,"**AC (Alternatif Akım)**, yönü ve şiddeti **sürekli değişen** akımdır."
dc nedir,"**DC (Doğru Akım)**, yönü ve şiddeti **sabit olan** akımdır."
voltaj nedir,"**Voltaj**, iki nokta arasındaki **elektrik potansiyel farkıdır.**"
akım nedir,"**Akım**, bir iletken boyunca **elektronların hareketidir.**"
güç nedir,"**Güç**, birim zamanda yapılan **iş veya enerji transferidir.** Birimi Watt'tır (W)."
frekans nedir,"**Frekans,** bir sinyalin **saniyedeki salınım sayısıdır.**"
görüşürüz,Görüşürüz 👋!
topraklama nedir,"**Topraklama**, elektrik devresini güvenli bir şekilde **toprak ile bağlama** işlemidir."
kısa devre nedir,"**Kısa devre**, **düşük dirençli bir yol oluşması nedeniyle** akımın normalden fazla artmasıdır."
açık devre nedir,"**Açık devre**, devrede **akımın akmadığı** durumdur."
rezistans nedir,"**Rezistans**, devrede **akıma karşı gösterilen** zorluktur."
indüktör nedir,"**İndüktör**, manyetik alan oluşturarak **akım değişimlerine karşı direnç gösteren** elemandır."
seri bağlantı nedir,"**Seri bağlantı**, elemanların **uç uca** bağlandığı bağlantı türüdür."
paralel bağlantı nedir,"**Paralel bağlantı**, elemanların **uçlarının karşılıklı** bağlandığı bağlantı türüdür."
ampermetre nedir,"**Ampermetre**, devreden **geçen akımı ölçmek için** kullanılan cihazdır."
volmetre nedir,"**Volmetre**, iki nokta arasındaki **gerilimi ölçmek için** kullanılır."
